"software","version","date","time","output_file","data_file","file_path","study_name","model_number","subgroup","model_type","process_A","process_B","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","has_converged","trust_all","mistrust","covar_covered","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","p_GAMMA_01_est","p_GAMMA_01_se","p_GAMMA_01_wald","p_GAMMA_01_pval","p_GAMMA_11_est","p_GAMMA_11_se","p_GAMMA_11_wald","p_GAMMA_11_pval","c_GAMMA_01_est","c_GAMMA_01_se","c_GAMMA_01_wald","c_GAMMA_01_pval","c_GAMMA_11_est","c_GAMMA_11_se","c_GAMMA_11_wald","c_GAMMA_11_pval","p_GAMMA_02_est","p_GAMMA_02_se","p_GAMMA_02_wald","p_GAMMA_02_pval","p_GAMMA_12_est","p_GAMMA_12_se","p_GAMMA_12_wald","p_GAMMA_12_pval","c_GAMMA_02_est","c_GAMMA_02_se","c_GAMMA_02_wald","c_GAMMA_02_pval","c_GAMMA_12_est","c_GAMMA_12_se","c_GAMMA_12_wald","c_GAMMA_12_pval","p_GAMMA_03_est","p_GAMMA_03_se","p_GAMMA_03_wald","p_GAMMA_03_pval","p_GAMMA_13_est","p_GAMMA_13_se","p_GAMMA_13_wald","p_GAMMA_13_pval","c_GAMMA_03_est","c_GAMMA_03_se","c_GAMMA_03_wald","c_GAMMA_03_pval","c_GAMMA_13_est","c_GAMMA_13_se","c_GAMMA_13_wald","c_GAMMA_13_pval","p_GAMMA_04_est","p_GAMMA_04_se","p_GAMMA_04_wald","p_GAMMA_04_pval","p_GAMMA_14_est","p_GAMMA_14_se","p_GAMMA_14_wald","p_GAMMA_14_pval","c_GAMMA_04_est","c_GAMMA_04_se","c_GAMMA_04_wald","c_GAMMA_04_pval","c_GAMMA_14_est","c_GAMMA_14_se","c_GAMMA_14_wald","c_GAMMA_14_pval","p_GAMMA_05_est","p_GAMMA_05_se","p_GAMMA_05_wald","p_GAMMA_05_pval","p_GAMMA_15_est","p_GAMMA_15_se","p_GAMMA_15_wald","p_GAMMA_15_pval","c_GAMMA_05_est","c_GAMMA_05_se","c_GAMMA_05_wald","c_GAMMA_05_pval","c_GAMMA_15_est","c_GAMMA_15_se","c_GAMMA_15_wald","c_GAMMA_15_pval","p_GAMMA_06_est","p_GAMMA_06_se","p_GAMMA_06_wald","p_GAMMA_06_pval","p_GAMMA_16_est","p_GAMMA_16_se","p_GAMMA_16_wald","p_GAMMA_16_pval","c_GAMMA_06_est","c_GAMMA_06_se","c_GAMMA_06_wald","c_GAMMA_06_pval","c_GAMMA_16_est","c_GAMMA_16_se","c_GAMMA_16_wald","c_GAMMA_16_pval"
"Mplus VERSION 7.3","0.1","07/15/2015","11:30 PM","b1_female_a_muscle_executive_grip_digitordering.out",NA,"C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/map/physical-cognitive/outputs/b1_female_a_muscle_executive_grip_digitordering.out","map","b1","female","a","grip","digitordering",1010,5,NA,23,-18676.848,37399.696,37512.803,37439.754,37400.8156754564,TRUE,TRUE,NA,0,1.45,0.569,2.547,0.011,0.019,0.042,0.461,0.645,0.198,0.194,1.024,0.306,-0.071,0.142,-0.499,0.618,NA,NA,NA,NA,106.331,6.518,16.313,0,0.828,0.343,2.415,0.016,-1.914,1.166,-1.641,0.101,NA,NA,NA,NA,1.219,0.121,10.035,0,0.023,0.013,1.755,0.079,-0.077,0.033,-2.333,0.02,NA,NA,NA,NA,47.282,0.622,76.024,0,-0.946,0.146,-6.474,0,7.336,0.074,98.741,0,0.013,0.022,0.603,0.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.665,0.051,-13.149,0,-0.02,0.012,-1.641,0.101,-0.008,0.006,-1.279,0.201,-0.003,0.002,-1.73,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3","0.1","07/15/2015","11:35 PM","b1_female_a_muscle_executive_grip_digitsback.out",NA,"C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/map/physical-cognitive/outputs/b1_female_a_muscle_executive_grip_digitsback.out","map","b1","female","a","grip","digitsback",1010,5,NA,23,-10460.117,20966.233,21079.341,21006.291,20967.3526754564,TRUE,TRUE,NA,0,0.141,0.027,5.29,0,0.003,0.002,1.653,0.098,-0.008,0.007,-1.145,0.252,-0.012,0.007,-1.671,0.095,NA,NA,NA,NA,0.131,0.008,16.07,0,0.001,0.001,0.847,0.397,-0.001,0.001,-1.026,0.305,NA,NA,NA,NA,2.624,0.174,15.12,0,0.036,0.015,2.335,0.02,-0.099,0.039,-2.553,0.011,NA,NA,NA,NA,1.737,0.021,83.076,0,-0.038,0.004,-8.782,0,6.351,0.098,65.048,0,-0.035,0.025,-1.398,0.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.025,0.002,-14.82,0,0.001,0,1.965,0.049,-0.007,0.008,-0.866,0.387,0.001,0.002,0.546,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3","0.1","07/16/2015"," 7:22 PM","b1_female_a_muscle_fluency_grip_categories.out",NA,"C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/map/physical-cognitive/outputs/b1_female_a_muscle_fluency_grip_categories.out","map","b1","female","a","grip","categories",1010,5,NA,23,-24187.07,48420.139,48533.247,48460.197,48421.2586754564,TRUE,TRUE,NA,0,10.929,3.036,3.6,0,0.25,0.187,1.338,0.181,1.959,0.843,2.323,0.02,-0.6,0.763,-0.786,0.432,NA,NA,NA,NA,106.469,6.528,16.309,0,0.857,0.347,2.469,0.014,-2.062,1.172,-1.759,0.079,NA,NA,NA,NA,52.944,3.492,15.163,0,1.169,0.269,4.336,0,-0.103,0.701,-0.147,0.883,NA,NA,NA,NA,47.268,0.622,76.049,0,-0.953,0.144,-6.603,0,37.991,0.431,88.048,0,-0.01,0.102,-0.097,0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.667,0.051,-13.199,0,-0.018,0.012,-1.543,0.123,-0.288,0.035,-8.146,0,-0.031,0.009,-3.413,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3","0.1","07/21/2015","12:00 AM","b1_female_a_muscle_knowledge_grip_nart.out","C:\Users\Cassandra\Desktop\unshared\brown\New pulmonary models\radcMAP_wide.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/map/physical-cognitive/outputs/b1_female_a_muscle_knowledge_grip_nart.out","map","b1","female","a","grip","nart",1010,5,NA,23,-18426.781,36899.563,37012.67,36939.62,36900.6826754564,TRUE,TRUE,NA,0,2.491,0.926,2.69,0.007,-0.008,0.033,-0.231,0.818,0.083,0.139,0.598,0.55,-0.53,0.24,-2.209,0.027,NA,NA,NA,NA,106.774,6.548,16.307,0,0.848,0.342,2.481,0.013,-2.136,1.169,-1.827,0.068,NA,NA,NA,NA,4.763,0.277,17.185,0,0.019,0.01,1.849,0.064,-0.043,0.038,-1.122,0.262,NA,NA,NA,NA,47.289,0.622,76.042,0,-0.931,0.144,-6.461,0,7.502,0.121,61.792,0,0.033,0.02,1.638,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.665,0.051,-13.15,0,-0.019,0.012,-1.629,0.103,0.042,0.01,4.224,0,-0.002,0.002,-1.078,0.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3","0.1","07/21/2015"," 8:39 AM","b1_female_a_muscle_language_grip_bnt.out",NA,"C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/map/physical-cognitive/outputs/b1_female_a_muscle_language_grip_bnt.out","map","b1","female","a","grip","bnt",1010,5,NA,23,-17387.005,34820.01,34933.118,34860.068,34821.1296754564,TRUE,TRUE,NA,0,2.128,0.621,3.43,0.001,0.024,0.033,0.718,0.473,-0.148,0.143,-1.037,0.3,-0.124,0.142,-0.874,0.382,NA,NA,NA,NA,106.646,6.554,16.271,0,0.84,0.345,2.436,0.015,-1.965,1.176,-1.67,0.095,NA,NA,NA,NA,1.381,0.219,6.307,0,0.04,0.01,3.816,0,-0.113,0.033,-3.42,0.001,NA,NA,NA,NA,47.277,0.622,76.032,0,-0.954,0.144,-6.637,0,14.142,0.062,229,0,0.042,0.014,3.031,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.667,0.05,-13.208,0,-0.019,0.012,-1.588,0.112,-0.028,0.005,-5.234,0,-0.002,0.001,-1.16,0.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3","0.1","07/22/2015","11:54 PM","b1_female_a_muscle_language_grip_complexideas.out",NA,"C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/map/physical-cognitive/outputs/b1_female_a_muscle_language_grip_complexideas.out","map","b1","female","a","grip","complexideas",1010,5,NA,23,-15327.604,30701.208,30814.315,30741.265,30702.3276754564,TRUE,TRUE,NA,0,0.163,0.223,0.73,0.465,0.008,0.018,0.474,0.636,0.063,0.078,0.808,0.419,0.031,0.047,0.645,0.519,NA,NA,NA,NA,106.219,6.504,16.332,0,0.821,0.34,2.417,0.016,-1.956,1.153,-1.697,0.09,NA,NA,NA,NA,0.126,0.024,5.327,0,0.004,0.003,1.735,0.083,-0.011,0.007,-1.613,0.107,NA,NA,NA,NA,47.288,0.621,76.121,0,-0.948,0.143,-6.634,0,7.651,0.03,254.528,0,0.019,0.01,1.939,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.666,0.051,-13.189,0,-0.019,0.012,-1.624,0.104,0.004,0.003,1.499,0.134,-0.001,0.001,-0.794,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3","0.1","07/15/2015","11:39 PM","b1_female_a_muscle_memory_grip_bostonstorydelay.out",NA,"C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/map/physical-cognitive/outputs/b1_female_a_muscle_memory_grip_bostonstorydelay.out","map","b1","female","a","grip","bostonstorydelay",1010,5,NA,23,-19732.518,39511.036,39624.143,39551.093,39512.1556754564,TRUE,TRUE,NA,0,0.466,0.626,0.745,0.457,0.056,0.064,0.873,0.383,0.484,0.263,1.842,0.065,-0.001,0.177,-0.006,0.995,NA,NA,NA,NA,106.09,6.508,16.302,0,0.809,0.342,2.366,0.018,-1.859,1.163,-1.598,0.11,NA,NA,NA,NA,1.222,0.15,8.161,0,0.086,0.029,2.96,0.003,0.096,0.055,1.734,0.083,NA,NA,NA,NA,47.29,0.621,76.192,0,-0.947,0.145,-6.536,0,9.629,0.076,126.666,0,0.021,0.03,0.685,0.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.666,0.05,-13.187,0,-0.019,0.012,-1.632,0.103,-0.03,0.007,-4.294,0,-0.011,0.003,-3.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3","0.1","07/22/2015","11:02 PM","b1_female_a_muscle_memory_grip_bostonstoryimmediate.out",NA,"C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/map/physical-cognitive/outputs/b1_female_a_muscle_memory_grip_bostonstoryimmediate.out","map","b1","female","a","grip","bostonstoryimmediate",1010,5,NA,23,-10514.318,21074.636,21187.743,21114.694,21075.7556754564,TRUE,TRUE,NA,0,0.047,0.02,2.312,0.021,-0.002,0.002,-0.794,0.427,0.002,0.008,0.19,0.849,-0.008,0.005,-1.621,0.105,NA,NA,NA,NA,0.13,0.008,15.839,0,0,0.001,0.674,0.5,-0.001,0.001,-0.704,0.482,NA,NA,NA,NA,1.124,0.117,9.599,0,0.05,0.019,2.714,0.007,-0.037,0.04,-0.926,0.354,NA,NA,NA,NA,1.738,0.021,83.066,0,-0.038,0.004,-8.884,0,9.986,0.072,139.354,0,-0.007,0.027,-0.262,0.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.025,0.002,-14.865,0,0.001,0,1.939,0.053,-0.03,0.006,-4.734,0,-0.004,0.002,-1.755,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3","0.1","07/21/2015"," 8:56 PM","b1_female_a_muscle_memory_grip_digitsforward.out",NA,"C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/map/physical-cognitive/outputs/b1_female_a_muscle_memory_grip_digitsforward.out","map","b1","female","a","grip","digitsforward",1010,5,NA,23,-19302.453,38650.905,38764.013,38690.963,38652.0246754564,TRUE,TRUE,NA,0,1.53,0.704,2.172,0.03,0.027,0.047,0.566,0.571,0.01,0.195,0.054,0.957,-0.117,0.165,-0.707,0.479,NA,NA,NA,NA,106.236,6.508,16.324,0,0.833,0.341,2.445,0.014,-1.929,1.154,-1.671,0.095,NA,NA,NA,NA,2.433,0.15,16.254,0,0.018,0.012,1.419,0.156,-0.02,0.033,-0.59,0.555,NA,NA,NA,NA,47.297,0.621,76.168,0,-0.95,0.143,-6.631,0,8.363,0.094,89.27,0,-0.012,0.023,-0.531,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.666,0.051,-13.186,0,-0.019,0.012,-1.596,0.111,-0.004,0.008,-0.49,0.624,0,0.002,-0.155,0.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
